203	g	Protein
204	g	Total lipid (fat)
205	g	Carbohydrate, by difference
207	g	Ash
208	kcal	Energy
209	g	Starch
210	g	Sucrose
211	g	Glucose (dextrose)
212	g	Fructose
213	g	Lactose
214	g	Maltose
221	g	Alcohol, ethyl
255	g	Water
257	g	Adjusted Protein
262	mg	Caffeine
263	mg	Theobromine
268	kJ	Energy
269	g	Sugars, total
287	g	Galactose
291	g	Fiber, total dietary
301	mg	Calcium, Ca
303	mg	Iron, Fe
304	mg	Magnesium, Mg
305	mg	Phosphorus, P
306	mg	Potassium, K
307	mg	Sodium, Na
309	mg	Zinc, Zn
312	mg	Copper, Cu
313	ug	Fluoride, F
315	mg	Manganese, Mn
317	ug	Selenium, Se
318	IU	Vitamin A, IU
319	ug	Retinol
320	ug	Vitamin A, RAE
321	ug	Carotene, beta
322	ug	Carotene, alpha
323	mg	Vitamin E (alpha-tocopherol)
324	IU	Vitamin D
325	ug	Vitamin D2 (ergocalciferol)
326	ug	Vitamin D3 (cholecalciferol)
328	ug	Vitamin D (D2 + D3)
334	ug	Cryptoxanthin, beta
337	ug	Lycopene
338	ug	Lutein + zeaxanthin
341	mg	Tocopherol, beta
342	mg	Tocopherol, gamma
343	mg	Tocopherol, delta
344	mg	Tocotrienol, alpha
345	mg	Tocotrienol, beta
346	mg	Tocotrienol, gamma
347	mg	Tocotrienol, delta
401	mg	Vitamin C, total ascorbic acid
404	mg	Thiamin
405	mg	Riboflavin
406	mg	Niacin
410	mg	Pantothenic acid
415	mg	Vitamin B-6
417	ug	Folate, total
418	ug	Vitamin B-12
421	mg	Choline, total
428	ug	Menaquinone-4
429	ug	Dihydrophylloquinone
430	ug	Vitamin K (phylloquinone)
431	ug	Folic acid
432	ug	Folate, food
435	ug	Folate, DFE
454	mg	Betaine
501	g	Tryptophan
502	g	Threonine
503	g	Isoleucine
504	g	Leucine
505	g	Lysine
506	g	Methionine
507	g	Cystine
508	g	Phenylalanine
509	g	Tyrosine
510	g	Valine
511	g	Arginine
512	g	Histidine
513	g	Alanine
514	g	Aspartic acid
515	g	Glutamic acid
516	g	Glycine
517	g	Proline
518	g	Serine
521	g	Hydroxyproline
573	mg	Vitamin E, added
578	ug	Vitamin B-12, added
601	mg	Cholesterol
605	g	Fatty acids, total trans
606	g	Fatty acids, total saturated
607	g	4:0
608	g	6:0
609	g	8:0
610	g	10:0
611	g	12:0
612	g	14:0
613	g	16:0
614	g	18:0
615	g	20:0
617	g	18:1 undifferentiated
618	g	18:2 undifferentiated
619	g	18:3 undifferentiated
620	g	20:4 undifferentiated
621	g	22:6 n-3 (DHA)
624	g	22:0
625	g	14:1
626	g	16:1 undifferentiated
627	g	18:4
628	g	20:1
629	g	20:5 n-3 (EPA)
630	g	22:1 undifferentiated
631	g	22:5 n-3 (DPA)
636	mg	Phytosterols
638	mg	Stigmasterol
639	mg	Campesterol
641	mg	Beta-sitosterol
645	g	Fatty acids, total monounsaturated
646	g	Fatty acids, total polyunsaturated
652	g	15:0
653	g	17:0
654	g	24:0
662	g	16:1 t
663	g	18:1 t
664	g	22:1 t
665	g	18:2 t not further defined
666	g	18:2 i
669	g	18:2 t,t
670	g	18:2 CLAs
671	g	24:1 c
672	g	20:2 n-6 c,c
673	g	16:1 c
674	g	18:1 c
675	g	18:2 n-6 c,c
676	g	22:1 c
685	g	18:3 n-6 c,c,c
687	g	17:1
689	g	20:3 undifferentiated
693	g	Fatty acids, total trans-monoenoic
695	g	Fatty acids, total trans-polyenoic
696	g	13:0
697	g	15:1
851	g	18:3 n-3 c,c,c (ALA)
852	g	20:3 n-3
853	g	20:3 n-6
855	g	20:4 n-6
856	g	18:3i
857	g	21:5
858	g	22:4
859	g	18:1-11 t (18:1t n-7)
